task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-30_18-08-49_#0-0: task_2,24962,9902,34864,2,2,True,False,1.0,1.0,2.0,1.0,easy,"[1.0, 1.0]"
2026-01-30_18-08-49_#1-0: task_4,46491,29034,75525,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.0, 0.5, 0.0]"
2026-01-30_18-08-49_#2-0: task_2,33339,22964,56303,6,4,True,False,1.0,0.666667,4.0,1.0,easy,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]"
2026-01-30_18-08-49_#3-0: task_2,19018,16281,35299,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[0.0, 1.0, 1.0]"
2026-01-30_18-08-49_#4-0: task_7,62689,51981,114670,5,0,False,True,0.33,0.132,0.66,0.66,hard,"[0.0, 0.0, 0.0, 0.33, 0.33]"
2026-01-30_18-08-49_#5-0: task_1,34214,4111,38325,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-01-30_18-08-49_#6-0: task_4,10975,8705,19680,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-30_18-08-49_#7-0: task_7,26891,27134,54025,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-01-30_18-08-49_#8-0: task_5,38382,15688,54070,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-30_18-08-49_#9-0: task_1,31358,16724,48082,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-30_18-08-49_#10-0: task_1,39053,10957,50010,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-30_18-08-49_#11-0: task_6,40095,23036,63131,4,1,True,False,1.0,0.625,2.5,1.0,medium,"[0.5, 1.0, 0.5, 0.5]"
2026-01-30_18-08-49_#12-0: task_7,54188,5367,59555,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-30_18-08-49_#13-0: task_1,46500,37256,83756,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-30_18-08-49_#14-0: task_1,6435,3392,9827,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-01-30_18-08-49_#15-0: task_7,32028,29225,61253,5,0,False,True,0.33,0.198,0.99,0.99,hard,"[0.33, 0.33, 0.0, 0.33, 0.0]"
2026-01-30_18-08-49_#16-0: task_7,31568,24520,56088,4,0,False,True,0.33,0.2475,0.99,0.99,hard,"[0.33, 0.33, 0.33, 0.0]"
