task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-26_08-16-24_#0-0: task_2,18037,15230,33267,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#1-0: task_4,29521,36441,65962,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-26_08-16-24_#2-0: task_2,22948,32169,55117,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#3-0: task_2,18740,29863,48603,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#4-0: task_7,42032,62427,104459,8,0,False,True,0.33,0.04125,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#5-0: task_1,19269,9128,28397,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-26_08-16-24_#6-0: task_4,10987,19666,30653,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#7-0: task_7,20675,30762,51437,4,0,False,True,0.33,0.0825,0.33,0.33,hard,"[0.0, 0.0, 0.0, 0.33]"
2026-01-26_08-16-24_#8-0: task_5,22043,13326,35369,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-26_08-16-24_#9-0: task_1,22068,29604,51672,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#10-0: task_1,22330,10195,32525,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-26_08-16-24_#11-0: task_6,24711,28360,53071,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0]"
2026-01-26_08-16-24_#12-0: task_7,29357,8910,38267,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-26_08-16-24_#13-0: task_1,31712,52894,84606,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#14-0: task_1,7722,9062,16784,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[0.0, 1.0]"
2026-01-26_08-16-24_#15-0: task_7,26638,45673,72311,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#16-0: task_7,26103,32640,58743,6,0,False,True,0.67,0.111667,0.67,0.67,hard,"[0.67, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-26_08-16-24_#17-0: task_2,8773,15686,24459,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
