task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-29_19-06-24_#0-0: task_6,17032,8718,25750,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#1-0: task_1,13480,9953,23433,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-29_19-06-24_#2-0: task_1,25935,25255,51190,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#3-0: task_6,21139,14182,35321,4,1,True,False,1.0,0.25,1.0,1.0,medium,"[0.0, 0.0, 1.0, 0.0]"
2026-01-29_19-06-24_#4-0: task_3,21455,10727,32182,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#5-0: task_2,16392,15936,32328,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#6-0: task_6,12018,3980,15998,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.0, 0.25]"
2026-01-29_19-06-24_#7-0: task_6,10950,3143,14093,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-01-29_19-06-24_#8-0: task_5,6530,3150,9680,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-29_19-06-24_#9-0: task_4,7069,2661,9730,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-29_19-06-24_#10-0: task_1,6313,3494,9807,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-29_19-06-24_#11-0: task_1,7152,3759,10911,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-29_19-06-24_#12-0: task_2,6183,3013,9196,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-29_19-06-24_#13-0: task_5,16533,16484,33017,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#14-0: task_5,17243,11304,28547,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#15-0: task_1,17268,10695,27963,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#16-0: task_5,12554,9428,21982,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-29_19-06-24_#17-0: task_2,11299,7881,19180,2,0,False,True,0.5,0.5,1.0,1.0,easy,"[0.5, 0.5]"
2026-01-29_19-06-24_#18-0: task_6,27063,19725,46788,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#19-0: task_6,17358,16195,33553,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#20-0: task_6,12632,9199,21831,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-29_19-06-24_#21-0: task_5,21104,16959,38063,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#22-0: task_4,7617,3633,11250,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-29_19-06-24_#23-0: task_5,6646,4463,11109,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-29_19-06-24_#24-0: task_3,7644,3460,11104,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-29_19-06-24_#25-0: task_7,17664,12095,29759,3,0,False,True,0.33,0.22,0.66,0.66,hard,"[0.33, 0.0, 0.33]"
2026-01-29_19-06-24_#26-0: task_7,4810,8969,13779,0,0,False,False,0.0,0.0,0,0,hard,[]
2026-01-29_19-06-24_#27-0: task_7,21807,25611,47418,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-29_19-06-24_#28-0: task_2,20186,19034,39220,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
