task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-12_18-04-00_#0-0: task_1,124572,428,125000,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_11-14-04_#1-0: task_6,65283,8833,74116,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_11-14-04_#2-0: task_6,61845,19775,81620,4,0,False,True,0.5,0.125,0.5,0.5,"[0.5, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#3-0: task_1,78257,686,78943,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#4-0: task_6,117185,460,117645,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_21-23-56_#5-0: task_5,162518,786,163304,5,0,False,True,0.5,0.1,0.5,0.5,"[0.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-04_21-23-56_#6-0: task_7,124677,367,125044,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_21-23-56_#7-0: task_3,226259,653,226912,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#8-0: task_7,109126,214,109340,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-04_21-23-56_#9-0: task_6,81280,586,81866,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#10-0: task_3,196027,1207,197234,8,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#11-0: task_1,99936,857,100793,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#12-0: task_3,134215,857,135072,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#13-0: task_4,129787,604,130391,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#14-0: task_2,139120,759,139879,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#15-0: task_4,275013,1117,276130,8,0,False,True,0.5,0.0625,0.5,0.5,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#16-0: task_1,159748,1156,160904,8,1,True,False,1.0,0.125,1.0,1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#17-0: task_6,197215,805,198020,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#18-0: task_6,166460,953,167413,6,0,False,True,0.5,0.083333,0.5,0.5,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
2026-01-04_21-23-56_#19-0: task_3,169276,918,170194,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#20-0: task_5,90851,613,91464,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#21-0: task_5,162656,979,163635,7,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#22-0: task_1,322379,1205,323584,7,1,True,False,1.0,0.142857,1.0,1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#23-0: task_7,191789,1110,192899,7,0,False,True,0.33,0.047143,0.33,0.33,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]"
2026-01-04_21-23-56_#24-0: task_6,216864,903,217767,6,0,False,True,0.5,0.083333,0.5,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-04_21-23-56_#25-0: task_3,61244,579,61823,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#26-0: task_7,193653,608,194261,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#27-0: task_6,166255,858,167113,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#28-0: task_5,173424,867,174291,4,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#29-0: task_5,192146,437,192583,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_21-23-56_#30-0: task_2,295698,1358,297056,9,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#31-0: task_2,182644,599,183243,3,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#32-0: task_3,178905,946,179851,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#33-0: task_7,267373,1037,268410,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#34-0: task_2,159351,550,159901,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_21-23-56_#35-0: task_7,107954,404,108358,2,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-04_21-23-56_#36-0: task_5,362558,1084,363642,7,0,False,True,0.5,0.071429,0.5,0.5,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#37-0: task_1,75707,206,75913,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-04_21-23-56_#38-0: task_5,180566,714,181280,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#39-0: task_3,197757,790,198547,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#40-0: task_4,238986,879,239865,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#41-0: task_1,190435,933,191368,5,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#42-0: task_1,194239,854,195093,6,0,False,False,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-04_21-23-56_#43-0: task_7,203180,996,204176,6,0,False,True,0.33,0.11,0.66,0.66,"[0.33, 0.0, 0.0, 0.0, 0.0, 0.33]"
