task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-13_09-14-41_#0-0: task_2,24864,14620,39484,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[0.0, 1.0, 1.0]"
2026-03-13_09-25-53_#1-0: task_4,38747,38660,77407,5,0,False,True,0.5,0.3,1.5,1.0,medium,"[0.5, 0.0, 0.5, 0.5, 0.0]"
2026-03-13_09-25-53_#2-0: task_2,24454,16131,40585,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[1.0, 0.0, 1.0, 0.0]"
2026-03-13_09-25-53_#3-0: task_2,7767,3964,11731,0,0,False,False,0.0,0.0,0,0,easy,[]
2026-03-13_09-25-53_#4-0: task_7,3671,3629,7300,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-13_09-25-53_#5-0: task_1,18567,3297,21864,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-13_09-25-53_#6-0: task_4,7498,7693,15191,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-13_09-25-53_#7-0: task_7,24043,27728,51771,4,0,False,True,0.33,0.165,0.66,0.66,hard,"[0.0, 0.33, 0.33, 0.0]"
2026-03-13_09-25-53_#8-0: task_5,24165,12919,37084,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-13_09-25-53_#9-0: task_1,28433,23307,51740,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#10-0: task_1,23449,12798,36247,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-13_09-25-53_#11-0: task_6,30208,25634,55842,4,2,True,False,1.0,0.5,2.0,1.0,medium,"[0.0, 0.0, 1.0, 1.0]"
2026-03-13_09-25-53_#12-0: task_7,25565,10248,35813,0,0,False,False,0.0,0.0,0,0,hard,[]
2026-03-13_09-25-53_#13-0: task_1,43372,52580,95952,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#14-0: task_1,6465,8938,15403,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-13_09-25-53_#15-0: task_7,30247,30702,60949,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0, 0.0]"
2026-03-13_09-25-53_#16-0: task_7,27311,17690,45001,4,0,False,True,0.33,0.0825,0.33,0.33,hard,"[0.0, 0.0, 0.33, 0.0]"
2026-03-13_09-25-53_#17-0: task_2,8242,6582,14824,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-13_09-25-53_#18-0: task_2,21463,19446,40909,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#19-0: task_4,26813,14182,40995,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-13_09-25-53_#20-0: task_2,19269,14761,34030,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#21-0: task_7,20479,14617,35096,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-03-13_09-25-53_#22-0: task_4,29479,35321,64800,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-03-13_09-25-53_#23-0: task_1,32467,28100,60567,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#24-0: task_2,25531,22080,47611,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#25-0: task_4,13208,6625,19833,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-03-13_09-25-53_#26-0: task_3,26614,31332,57946,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#27-0: task_7,20179,16119,36298,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-03-13_09-25-53_#28-0: task_7,33136,29876,63012,5,0,False,True,0.33,0.198,0.99,0.99,hard,"[0.0, 0.33, 0.33, 0.33, 0.0]"
2026-03-13_09-25-53_#29-0: task_4,22049,23312,45361,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#30-0: task_3,20863,22494,43357,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#31-0: task_4,29174,33030,62204,4,0,False,True,0.5,0.5,2.0,1.0,medium,"[0.5, 0.5, 0.5, 0.5]"
2026-03-13_09-25-53_#32-0: task_6,34329,9130,43459,2,1,True,False,1.0,0.75,1.5,1.0,medium,"[1.0, 0.5]"
2026-03-13_09-25-53_#33-0: task_6,20887,28336,49223,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#34-0: task_7,6507,6911,13418,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-03-13_09-25-53_#35-0: task_6,22319,14567,36886,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-13_09-25-53_#36-0: task_4,18477,21662,40139,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-03-13_09-25-53_#37-0: task_2,35224,20930,56154,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#38-0: task_2,28625,20939,49564,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#39-0: task_3,16962,17774,34736,3,3,True,False,1.0,1.0,3.0,1.0,easy,"[1.0, 1.0, 1.0]"
2026-03-13_09-25-53_#40-0: task_2,28091,35892,63983,6,3,True,False,1.0,0.5,3.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
2026-03-13_09-25-53_#41-0: task_1,25767,38596,64363,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-13_09-25-53_#42-0: task_5,20570,17946,38516,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-03-13_09-25-53_#43-0: task_6,35431,18738,54169,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#44-0: task_5,16744,20628,37372,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-13_09-25-53_#45-0: task_1,34221,33211,67432,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-13_09-25-53_#46-0: task_6,16558,16847,33405,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-03-13_09-25-53_#47-0: task_3,14384,7082,21466,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-13_09-25-53_#48-0: task_1,6640,6477,13117,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-13_09-25-53_#49-0: task_1,21197,19755,40952,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-03-13_09-25-53_#50-0: task_5,21745,25741,47486,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
