task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-09_15-02-09_#0-0: task_2,29439,10608,40047,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-03-09_15-02-09_#1-0: task_4,53802,13902,67704,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.5, 0.5, 0.0, 0.5, 0.0, 0.5]"
2026-03-09_15-02-09_#2-0: task_2,39646,24087,63733,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
2026-03-09_15-02-09_#3-0: task_2,32021,15098,47119,5,4,True,False,1.0,0.8,4.0,1.0,easy,"[1.0, 1.0, 1.0, 0.0, 1.0]"
2026-03-09_15-02-09_#4-0: task_7,75457,31113,106570,9,0,False,True,0.33,0.183333,1.65,1.0,hard,"[0.33, 0.33, 0.33, 0.33, 0.0, 0.33, 0.0, 0.0, 0.0]"
2026-03-09_15-02-09_#5-0: task_1,31188,6408,37596,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-09_15-02-09_#6-0: task_4,13037,8341,21378,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-03-09_15-02-09_#7-0: task_7,27786,14252,42038,3,0,False,True,0.67,0.333333,1.0,1.0,hard,"[0.33, 0.67, 0.0]"
2026-03-09_15-02-09_#8-0: task_5,38997,4802,43799,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-09_15-02-09_#9-0: task_1,36577,8929,45506,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-09_15-02-09_#10-0: task_1,37727,6998,44725,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-09_15-02-09_#11-0: task_6,43599,11146,54745,4,1,True,False,1.0,0.375,1.5,1.0,medium,"[0.5, 1.0, 0.0, 0.0]"
2026-03-09_15-02-09_#12-0: task_7,45334,10668,56002,0,0,False,False,0.0,0.0,0,0,hard,[]
2026-03-09_15-02-09_#13-0: task_1,56014,30575,86589,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-09_15-02-09_#14-0: task_1,7452,3642,11094,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-09_15-02-09_#15-0: task_7,47721,23982,71703,7,0,False,True,0.33,0.141429,0.99,0.99,hard,"[0.33, 0.0, 0.0, 0.33, 0.0, 0.33, 0.0]"
2026-03-09_15-02-09_#16-0: task_7,45257,23029,68286,6,0,False,True,0.67,0.111667,0.67,0.67,hard,"[0.0, 0.0, 0.67, 0.0, 0.0, 0.0]"
2026-03-09_15-02-09_#17-0: task_2,14562,8942,23504,2,2,True,False,1.0,1.0,2.0,1.0,easy,"[1.0, 1.0]"
2026-03-09_15-02-09_#18-0: task_2,26586,6126,32712,4,2,True,False,1.0,0.5,2.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0]"
2026-03-09_15-02-09_#19-0: task_4,47951,9920,57871,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.5, 0.0]"
2026-03-09_15-02-09_#20-0: task_2,25776,12963,38739,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-03-09_15-02-09_#21-0: task_7,31213,6177,37390,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-03-09_15-02-09_#22-0: task_4,35088,18694,53782,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.5]"
