task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-27_21-44-14_#0-0: task_6,17257,9021,26278,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-27_21-44-14_#1-0: task_1,9088,1848,10936,0,0,False,False,0.0,0.0,0,0,easy,[]
2026-01-27_21-44-14_#2-0: task_1,12297,3083,15380,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-27_21-44-14_#3-0: task_6,11993,2547,14540,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-27_21-44-14_#4-0: task_3,7755,1660,9415,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-27_21-44-14_#5-0: task_2,7338,1406,8744,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-27_21-44-14_#6-0: task_6,11999,2746,14745,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-27_21-44-14_#7-0: task_6,11024,3457,14481,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-01-27_21-44-14_#8-0: task_5,6528,1274,7802,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-27_21-44-14_#9-0: task_4,11958,2780,14738,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-27_21-44-14_#10-0: task_1,10934,4482,15416,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-27_21-44-14_#11-0: task_1,7143,6642,13785,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-27_21-44-14_#12-0: task_2,6141,3260,9401,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-27_21-44-14_#13-0: task_5,7481,1828,9309,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-27_21-44-14_#14-0: task_5,7964,2587,10551,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
