task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-17_23-17-54_#0-0: task_1,79701,9821,89522,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-17_23-17-54_#1-0: task_6,51253,11028,62281,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-17_23-17-54_#2-0: task_6,50555,20829,71384,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#3-0: task_1,36582,14245,50827,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#4-0: task_6,29523,11074,40597,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-01-17_23-17-54_#5-0: task_5,89800,25140,114940,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#6-0: task_7,65498,18919,84417,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-17_23-17-54_#7-0: task_3,89283,15097,104380,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#8-0: task_7,61485,10313,71798,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-17_23-17-54_#9-0: task_6,26722,23100,49822,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#10-0: task_3,62977,39254,102231,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#11-0: task_1,42995,32263,75258,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#12-0: task_3,42964,28106,71070,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#13-0: task_4,39309,16202,55511,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-01-17_23-17-54_#14-0: task_2,51837,19399,71236,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#15-0: task_4,72970,35753,108723,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#16-0: task_1,54236,35262,89498,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#17-0: task_6,105855,18252,124107,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-17_23-17-54_#18-0: task_6,57543,32016,89559,5,0,False,True,0.5,0.1,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-17_23-17-54_#19-0: task_3,59149,19754,78903,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#20-0: task_5,39699,13920,53619,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#21-0: task_5,66306,33209,99515,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#22-0: task_1,99627,36332,135959,7,7,True,False,1.0,1.0,7.0,1.0,easy,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2026-01-17_23-17-54_#23-0: task_7,59702,29453,89155,7,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#24-0: task_6,73058,28710,101768,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2026-01-17_23-17-54_#25-0: task_3,23488,16771,40259,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#26-0: task_7,106413,16072,122485,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#27-0: task_6,42622,19823,62445,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#28-0: task_5,42590,22104,64694,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#29-0: task_5,116118,10648,126766,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-17_23-17-54_#30-0: task_2,83324,35159,118483,9,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#31-0: task_2,97093,14615,111708,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#32-0: task_3,65304,31518,96822,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#33-0: task_7,65622,30535,96157,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#34-0: task_2,97377,13067,110444,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-17_23-17-54_#35-0: task_7,37064,7888,44952,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-17_23-17-54_#36-0: task_5,133030,31250,164280,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#37-0: task_1,56207,8069,64276,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-17_23-17-54_#38-0: task_5,47921,21820,69741,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#39-0: task_3,34006,24200,58206,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_23-17-54_#40-0: task_4,57482,37184,94666,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
