task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-17_07-37-33_#0-0: task_6,21194,21127,42321,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#1-0: task_1,12431,10255,22686,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-17_07-37-33_#2-0: task_1,25757,31505,57262,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#3-0: task_6,30082,26846,56928,6,2,True,False,1.0,0.333333,2.0,1.0,medium,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#4-0: task_3,25814,24139,49953,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#5-0: task_2,30483,23418,53901,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#6-0: task_6,30482,24005,54487,6,0,False,True,0.25,0.125,0.75,0.75,medium,"[0.25, 0.0, 0.25, 0.0, 0.0, 0.25]"
2026-01-17_07-37-33_#7-0: task_6,30519,23636,54155,6,0,False,True,0.25,0.083333,0.5,0.5,medium,"[0.25, 0.25, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#8-0: task_5,16011,8984,24995,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#9-0: task_4,16088,18463,34551,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.25, 0.0]"
2026-01-17_07-37-33_#10-0: task_1,16040,10235,26275,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#11-0: task_1,16276,10278,26554,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#12-0: task_2,15482,14045,29527,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-17_07-37-33_#13-0: task_5,30314,33537,63851,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
