task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-04-08_08-19-59_#0-0: task_2,0,0,0,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-04-08_08-19-59_#1-0: task_4,0,0,0,6,0,False,True,0.5,0.25,1.5,1.0,medium,"[0.0, 0.5, 0.5, 0.0, 0.5, 0.0]"
2026-04-08_08-19-59_#2-0: task_2,0,0,0,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-19-59_#3-0: task_2,0,0,0,5,4,True,False,1.0,0.8,4.0,1.0,easy,"[1.0, 1.0, 0.0, 1.0, 1.0]"
2026-04-08_08-19-59_#4-0: task_7,0,0,0,9,0,False,True,0.33,0.073333,0.66,0.66,hard,"[0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0]"
2026-04-08_08-19-59_#5-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-04-08_08-19-59_#6-0: task_4,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-08_08-19-59_#7-0: task_7,0,0,0,4,0,False,True,0.67,0.1675,0.67,0.67,hard,"[0.0, 0.67, 0.0, 0.0]"
2026-04-08_08-19-59_#8-0: task_5,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-04-08_08-19-59_#9-0: task_1,0,0,0,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-19-59_#10-0: task_1,0,0,0,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-04-08_08-19-59_#11-0: task_6,0,0,0,4,1,True,False,1.0,0.375,1.5,1.0,medium,"[0.0, 0.5, 1.0, 0.0]"
2026-04-08_08-19-59_#12-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-04-08_08-19-59_#13-0: task_1,0,0,0,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-04-08_08-19-59_#14-0: task_1,0,0,0,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-04-08_08-19-59_#15-0: task_7,0,0,0,7,0,False,True,0.33,0.235714,1.65,1.0,hard,"[0.33, 0.0, 0.33, 0.33, 0.33, 0.33, 0.0]"
