task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-28_14-32-02_#0-0: task_2,21097,6227,27324,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-03-28_14-32-02_#1-0: task_4,38607,7930,46537,6,0,False,True,0.5,0.416667,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.0]"
2026-03-28_14-32-02_#2-0: task_2,39233,8584,47817,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
2026-03-28_14-32-02_#3-0: task_2,31630,7260,38890,5,3,True,False,1.0,0.6,3.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0, 1.0]"
2026-03-28_14-32-02_#4-0: task_7,75055,15842,90897,9,0,False,True,0.33,0.256667,2.31,1.0,hard,"[0.0, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.0]"
2026-03-28_14-32-02_#5-0: task_1,31239,1390,32629,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-28_14-32-02_#6-0: task_4,12897,4254,17151,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-03-28_14-32-02_#7-0: task_7,31412,12510,43922,4,1,True,False,1.0,0.415,1.66,1.0,hard,"[0.33, 1.0, 0.0, 0.33]"
2026-03-28_14-32-02_#8-0: task_5,39175,2502,41677,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-28_14-32-02_#9-0: task_1,40262,6825,47087,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-28_14-32-02_#10-0: task_1,38004,6173,44177,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-28_14-32-02_#11-0: task_6,43502,7932,51434,4,1,True,False,1.0,0.25,1.0,1.0,medium,"[0.0, 1.0, 0.0, 0.0]"
2026-03-28_14-32-02_#12-0: task_7,45649,2652,48301,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-28_14-32-02_#13-0: task_1,55732,19088,74820,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-28_14-32-02_#14-0: task_1,11842,2227,14069,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-28_14-32-02_#15-0: task_7,47321,10052,57373,7,0,False,True,0.33,0.235714,1.65,1.0,hard,"[0.33, 0.33, 0.33, 0.33, 0.33, 0.0, 0.0]"
2026-03-28_14-32-02_#16-0: task_7,44981,13650,58631,6,0,False,True,0.67,0.111667,0.67,0.67,hard,"[0.0, 0.67, 0.0, 0.0, 0.0, 0.0]"
2026-03-28_14-32-02_#17-0: task_2,14490,3380,17870,2,2,True,False,1.0,1.0,2.0,1.0,easy,"[1.0, 1.0]"
2026-03-28_14-32-02_#18-0: task_2,26333,2560,28893,4,3,True,False,1.0,0.75,3.0,1.0,easy,"[0.0, 1.0, 1.0, 1.0]"
2026-03-28_14-32-02_#19-0: task_4,48185,4736,52921,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-03-28_14-32-02_#20-0: task_2,30728,10938,41666,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-28_14-32-02_#21-0: task_7,31185,2807,33992,2,0,False,True,0.67,0.335,0.67,0.67,hard,"[0.67, 0.0]"
