task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-14_07-59-33_#0-0: task_2,33091,15543,48634,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-14_07-59-33_#1-0: task_4,78027,13958,91985,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-14_07-59-33_#2-0: task_2,64404,18464,82868,6,3,True,False,1.0,0.5,3.0,1.0,easy,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
2026-03-14_07-59-33_#3-0: task_2,53186,15556,68742,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[1.0, 1.0, 0.0, 0.0, 0.0]"
2026-03-14_07-59-33_#4-0: task_7,106188,22146,128334,9,0,False,True,0.33,0.11,0.99,0.99,hard,"[0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0]"
2026-03-14_07-59-33_#5-0: task_1,32360,3153,35513,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-14_07-59-33_#6-0: task_4,21687,4535,26222,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-14_07-59-33_#7-0: task_7,44942,25326,70268,3,0,False,True,0.67,0.223333,0.67,0.67,hard,"[0.0, 0.67, 0.0]"
2026-03-14_07-59-33_#8-0: task_5,47103,9475,56578,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-14_07-59-33_#9-0: task_1,49802,21477,71279,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-03-14_07-59-33_#10-0: task_1,45557,13254,58811,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-14_07-59-33_#11-0: task_6,60412,18238,78650,3,1,True,False,1.0,0.5,1.5,1.0,medium,"[1.0, 0.5, 0.0]"
2026-03-14_07-59-33_#12-0: task_7,45603,7024,52627,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-03-14_07-59-33_#13-0: task_1,89470,24811,114281,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-14_07-59-33_#14-0: task_1,12580,4032,16612,1,1,True,False,1.0,1.0,1.0,1.0,easy,[1.0]
2026-03-14_07-59-33_#15-0: task_7,75292,32834,108126,6,0,False,True,0.33,0.11,0.66,0.66,hard,"[0.0, 0.33, 0.0, 0.0, 0.0, 0.33]"
2026-03-14_07-59-33_#16-0: task_7,69112,28943,98055,5,0,False,True,0.67,0.2,1.0,1.0,hard,"[0.33, 0.0, 0.0, 0.67, 0.0]"
