task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-07_07-47-44_#0-0: task_2,21335,7690,29025,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[0.0, 1.0, 1.0]"
2026-03-07_07-47-44_#1-0: task_4,39126,14606,53732,6,0,False,True,0.5,0.333333,2.0,1.0,medium,"[0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
2026-03-07_07-47-44_#2-0: task_2,32091,17385,49476,6,2,True,False,1.0,0.333333,2.0,1.0,easy,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-03-07_07-47-44_#3-0: task_2,26189,17163,43352,5,4,True,False,1.0,0.8,4.0,1.0,easy,"[1.0, 1.0, 1.0, 0.0, 1.0]"
2026-03-07_07-47-44_#4-0: task_7,55454,36649,92103,9,0,False,True,0.33,0.11,0.99,0.99,hard,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.33, 0.0, 0.0]"
2026-03-07_07-47-44_#5-0: task_1,18664,7283,25947,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-07_07-47-44_#6-0: task_4,11326,8822,20148,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-07_07-47-44_#7-0: task_7,24329,19851,44180,3,0,False,True,0.67,0.333333,1.0,1.0,hard,"[0.0, 0.33, 0.67]"
2026-03-07_07-47-44_#8-0: task_5,24291,6176,30467,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-07_07-47-44_#9-0: task_1,28651,21154,49805,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-07_07-47-44_#10-0: task_1,23562,6956,30518,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
