task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-03-31_09-55-57_#0-0: task_1,130785,7461,138246,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-03-31_09-55-57_#1-0: task_6,84052,3807,87859,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.0, 0.5]"
2026-03-31_09-55-57_#2-0: task_6,68165,8827,76992,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-31_09-55-57_#3-0: task_1,43903,12596,56499,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-03-31_09-55-57_#4-0: task_6,43879,3410,47289,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-03-31_09-55-57_#5-0: task_5,142657,23480,166137,5,0,False,True,0.5,0.5,2.5,1.0,medium,"[0.5, 0.5, 0.5, 0.5, 0.5]"
2026-03-31_09-55-57_#6-0: task_7,116130,3916,120046,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-03-31_09-55-57_#7-0: task_3,126832,15734,142566,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-03-31_09-55-57_#8-0: task_7,113178,1590,114768,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-03-31_09-55-57_#9-0: task_6,28300,7038,35338,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-03-31_09-55-57_#10-0: task_3,74679,15456,90135,7,1,True,False,1.0,0.142857,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2026-03-31_09-55-57_#11-0: task_1,55134,7926,63060,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-31_09-55-57_#12-0: task_3,39303,13140,52443,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-03-31_09-55-57_#13-0: task_4,57695,10192,67887,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
