task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2026-01-06_10-57-20_#1-0: task_6,62018,507,62525,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_10-57-20_#2-0: task_6,59553,1081,60634,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#3-0: task_1,42582,1064,43646,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#4-0: task_6,35872,628,36500,2,0,False,0.5,0.25,0.5,"[0.0, 0.5]"
2026-01-06_10-57-20_#5-0: task_5,110501,1091,111592,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#6-0: task_7,80771,896,81667,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_10-57-20_#7-0: task_3,107049,675,107724,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#8-0: task_7,81215,959,82174,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_10-57-20_#9-0: task_6,30969,1134,32103,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#10-0: task_3,72435,1563,73998,8,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#11-0: task_1,49798,978,50776,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#12-0: task_3,50180,1412,51592,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#13-0: task_4,47108,1086,48194,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#14-0: task_2,61549,868,62417,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#15-0: task_4,84604,1787,86391,8,0,False,0.5,0.0625,0.5,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#16-0: task_1,61945,1679,63624,8,1,True,1.0,0.125,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#17-0: task_6,127290,1230,128520,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#18-0: task_6,66786,1069,67855,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#19-0: task_3,69022,858,69880,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#20-0: task_5,47916,894,48810,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#21-0: task_5,77037,1485,78522,7,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#22-0: task_1,118528,1880,120408,7,1,True,1.0,0.142857,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-06_10-57-20_#23-0: task_7,73976,1342,75318,8,0,False,0.33,0.04125,0.33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0]"
2026-01-06_10-57-20_#24-0: task_6,85959,1403,87362,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#25-0: task_3,26488,1089,27577,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#26-0: task_7,131459,834,132293,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#27-0: task_6,49437,833,50270,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#28-0: task_5,49833,889,50722,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#29-0: task_5,105769,57,105826,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_10-57-20_#30-0: task_2,98486,1905,100391,9,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#31-0: task_2,118664,855,119519,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#32-0: task_3,77709,1198,78907,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#33-0: task_7,77941,1138,79079,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#34-0: task_2,120741,545,121286,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_10-57-20_#35-0: task_7,44803,620,45423,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_10-57-20_#36-0: task_5,160910,1827,162737,7,0,False,0.5,0.071429,0.5,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#37-0: task_1,73512,340,73852,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_10-57-20_#38-0: task_5,54488,1039,55527,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#39-0: task_3,38579,1115,39694,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#40-0: task_4,67114,978,68092,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#41-0: task_1,78387,1127,79514,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#42-0: task_1,81912,1203,83115,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#43-0: task_7,71545,1283,72828,6,0,False,0.33,0.055,0.33,"[0.33, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#44-0: task_7,83819,1325,85144,8,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#45-0: task_3,30281,710,30991,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#46-0: task_2,96221,1287,97508,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#47-0: task_1,47564,589,48153,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_10-57-20_#48-0: task_2,112384,1318,113702,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#49-0: task_5,55210,881,56091,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#50-0: task_1,32986,360,33346,1,0,False,0.5,0.5,0.5,[0.5]
2026-01-06_10-57-20_#51-0: task_1,33480,650,34130,1,0,False,0.5,0.5,0.5,[0.5]
2026-01-06_10-57-20_#52-0: task_6,56195,1199,57394,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#53-0: task_1,37548,684,38232,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_10-57-20_#54-0: task_7,98604,1216,99820,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_10-57-20_#55-0: task_5,67888,488,68376,2,0,False,0.5,0.25,0.5,"[0.0, 0.5]"
2026-01-06_10-57-20_#56-0: task_7,127130,697,127827,2,0,False,0.33,0.165,0.33,"[0.33, 0.0]"
2026-01-06_10-57-20_#57-0: task_2,53005,672,53677,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-09_#58-0: task_2,27914,377,28291,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_14-32-09_#59-0: task_6,105892,58,105950,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_14-32-09_#60-0: task_4,128972,778,129750,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#61-0: task_5,60837,1051,61888,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#62-0: task_2,112639,796,113435,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#63-0: task_3,86198,633,86831,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-09_#64-0: task_5,77399,1136,78535,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-06_14-32-09_#65-0: task_7,42805,664,43469,3,0,False,0.17,0.056667,0.17,"[0.0, 0.0, 0.17]"
2026-01-06_14-32-09_#66-0: task_5,43290,1129,44419,3,0,False,0.25,0.083333,0.25,"[0.0, 0.25, 0.0]"
2026-01-06_14-32-09_#67-0: task_4,44484,460,44944,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-09_#68-0: task_2,91777,1391,93168,6,1,True,1.0,0.166667,1.0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#69-0: task_5,57057,1074,58131,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#70-0: task_7,51724,802,52526,3,0,False,0.67,0.223333,0.67,"[0.0, 0.67, 0.0]"
2026-01-06_14-32-09_#71-0: task_6,61704,861,62565,2,0,False,0.5,0.25,0.5,"[0.5, 0.0]"
2026-01-06_14-32-09_#72-0: task_6,48489,1486,49975,6,1,True,1.0,0.333333,2.0,"[0.0, 0.5, 0.5, 1.0, 0.0, 0.0]"
2026-01-06_14-32-09_#73-0: task_2,23297,395,23692,1,1,True,1.0,1.0,1.0,[1.0]
2026-01-06_14-32-09_#74-0: task_4,58413,1641,60054,8,0,False,0.5,0.25,2.0,"[0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#75-0: task_6,68971,1342,70313,9,1,True,1.0,0.5,4.5,"[0.5, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
2026-01-06_14-32-09_#76-0: task_6,65889,908,66797,4,0,False,0.5,0.125,0.5,"[0.5, 0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#77-0: task_3,58003,1120,59123,4,1,True,1.0,0.25,1.0,"[0.0, 0.0, 0.0, 1.0]"
2026-01-06_14-32-09_#78-0: task_4,101406,646,102052,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-09_#79-0: task_5,89310,707,90017,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-09_#80-0: task_4,84905,619,85524,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-06_14-32-09_#81-0: task_1,67001,1000,68001,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-06_14-32-09_#82-0: task_2,73725,1799,75524,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
