task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-25_19-04-54_#0-0: task_3,14248,27492,41740,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#1-0: task_3,14419,23428,37847,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#2-0: task_2,13787,17746,31533,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#3-0: task_6,8698,14463,23161,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_19-04-54_#4-0: task_3,19846,38290,58136,6,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#5-0: task_6,19446,29125,48571,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#6-0: task_6,17165,20169,37334,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#7-0: task_6,17012,33442,50454,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#8-0: task_1,19586,24741,44327,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 0.0, 0.0, 1.0]"
2026-01-25_19-04-54_#9-0: task_5,19610,30609,50219,6,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#10-0: task_6,13902,19975,33877,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.0, 0.25, 0.0, 0.0]"
2026-01-25_19-04-54_#11-0: task_2,13898,19462,33360,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#12-0: task_5,10348,17186,27534,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#13-0: task_6,10826,26761,37587,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.25, 0.0]"
2026-01-25_19-04-54_#14-0: task_2,4522,5047,9569,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-25_19-04-54_#15-0: task_2,10080,16112,26192,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-25_19-04-54_#16-0: task_4,10190,17418,27608,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#17-0: task_4,13251,16181,29432,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#18-0: task_3,13184,20959,34143,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#19-0: task_6,10160,14765,24925,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#20-0: task_6,11639,23180,34819,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-01-25_19-04-54_#21-0: task_5,17554,21304,38858,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#22-0: task_2,14188,25559,39747,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#23-0: task_6,16512,31209,47721,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#24-0: task_3,13632,18084,31716,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#25-0: task_7,8032,12203,20235,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-25_19-04-54_#26-0: task_1,17068,26610,43678,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#27-0: task_2,5130,4931,10061,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-25_19-04-54_#28-0: task_7,11256,14358,25614,3,0,False,True,0.33,0.11,0.33,0.33,hard,"[0.0, 0.33, 0.0]"
2026-01-25_19-04-54_#29-0: task_1,11112,16141,27253,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#30-0: task_7,19521,30561,50082,6,0,False,True,0.33,0.11,0.66,0.66,hard,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.33]"
2026-01-25_19-04-54_#31-0: task_3,10778,24000,34778,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#32-0: task_4,14131,31698,45829,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#33-0: task_3,14263,26736,40999,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#34-0: task_1,10574,20961,31535,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#35-0: task_2,4185,7825,12010,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-25_19-04-54_#36-0: task_5,13502,15724,29226,4,1,True,False,1.0,0.5,2.0,1.0,medium,"[0.5, 1.0, 0.5, 0.0]"
2026-01-25_19-04-54_#37-0: task_6,10865,15751,26616,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#38-0: task_3,10667,18497,29164,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#39-0: task_2,11024,11690,22714,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#40-0: task_6,14033,14833,28866,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#41-0: task_4,7884,11813,19697,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_19-04-54_#42-0: task_4,10623,14406,25029,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#43-0: task_6,5087,9069,14156,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-25_19-04-54_#44-0: task_4,23074,34232,57306,7,0,False,True,0.5,0.071429,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#45-0: task_2,5408,9193,14601,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-25_19-04-54_#46-0: task_3,14071,15824,29895,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#47-0: task_2,10913,18535,29448,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#48-0: task_2,7464,14935,22399,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-25_19-04-54_#49-0: task_6,7557,19597,27154,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_19-04-54_#50-0: task_5,10493,13206,23699,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-25_19-04-54_#51-0: task_5,7685,5571,13256,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_19-04-54_#52-0: task_3,7670,7662,15332,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-25_19-04-54_#53-0: task_6,13592,15353,28945,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#54-0: task_5,8152,13474,21626,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_19-04-54_#55-0: task_3,13931,33175,47106,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#56-0: task_2,10791,21197,31988,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#57-0: task_2,10982,13841,24823,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#58-0: task_5,8405,15355,23760,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_19-04-54_#59-0: task_4,13464,27342,40806,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.0, 0.0, 0.0, 0.25]"
2026-01-25_19-04-54_#60-0: task_1,13372,27643,41015,4,0,False,True,0.5,0.125,0.5,0.5,easy,"[0.0, 0.0, 0.5, 0.0]"
2026-01-25_19-04-54_#61-0: task_7,5216,4917,10133,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-25_19-04-54_#62-0: task_1,11673,18014,29687,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#63-0: task_2,5514,17810,23324,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-25_19-04-54_#64-0: task_6,8334,6399,14733,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-25_19-04-54_#65-0: task_2,17217,33822,51039,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#66-0: task_7,17185,19630,36815,5,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#67-0: task_6,13530,23387,36917,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#68-0: task_4,5632,7238,12870,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-25_19-04-54_#69-0: task_5,10761,20018,30779,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.5, 0.0]"
2026-01-25_19-04-54_#70-0: task_1,16345,37958,54303,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#71-0: task_4,16521,35081,51602,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-25_19-04-54_#72-0: task_4,8579,8881,17460,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
