task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2025-12-14_08-00-02_#1-0: task_6,45452,13909,59361,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-14_08-00-02_#2-0: task_6,34537,18605,53142,4,0,False,0.5,0.125,0.5,"[0.5, 0.0, 0.0, 0.0]"
2025-12-14_08-00-02_#3-0: task_1,17493,18999,36492,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-14_08-00-02_#4-0: task_6,8456,30410,38866,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_08-00-02_#5-0: task_5,72392,23621,96013,5,0,False,0.5,0.1,0.5,"[0.0, 0.5, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#6-0: task_7,61302,8827,70129,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-14_11-11-56_#7-0: task_3,76485,14655,91140,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#8-0: task_7,59772,10613,70385,1,0,False,0.0,0.0,0.0,[0.0]
2025-12-14_11-11-56_#9-0: task_6,14359,15867,30226,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#10-0: task_3,33592,30877,64469,8,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#11-0: task_1,26710,18799,45509,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#12-0: task_3,26915,20004,46919,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#13-0: task_4,28052,20454,48506,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#14-0: task_2,36875,16125,53000,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#15-0: task_4,37276,33422,70698,8,0,False,0.5,0.0625,0.5,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#16-0: task_1,18479,33699,52178,8,1,True,1.0,0.125,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#17-0: task_6,84765,24187,108952,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#18-0: task_6,3183,11216,14399,1,0,False,0.0,0.0,0.0,[0.0]
2025-12-14_11-11-56_#19-0: task_3,33897,26093,59990,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_11-11-56_#20-0: task_5,28604,12694,41298,3,0,False,0.5,0.166667,0.5,"[0.0, 0.0, 0.5]"
2025-12-14_22-28-03_#21-0: task_5,35668,24952,60620,7,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_22-28-03_#22-0: task_1,69059,26993,96052,7,1,True,1.0,0.142857,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_22-28-03_#23-0: task_7,28925,23915,52840,6,0,False,0.33,0.055,0.33,"[0.0, 0.0, 0.0, 0.0, 0.33, 0.0]"
2025-12-14_22-28-03_#24-0: task_6,47880,23246,71126,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-14_22-28-03_#25-0: task_3,11625,12488,24113,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-14_22-28-03_#26-0: task_7,95064,17102,112166,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-14_22-28-03_#27-0: task_6,26853,21360,48213,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-14_22-28-03_#28-0: task_5,26962,17215,44177,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-14_22-28-03_#29-0: task_5,104179,11001,115180,1,0,False,0.5,0.5,0.5,[0.5]
2025-12-14_22-28-03_#30-0: task_2,43077,31791,74868,9,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_08-22-18_#31-0: task_2,85793,16780,102573,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-15_09-24-55_#32-0: task_3,44165,21614,65779,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_09-24-55_#33-0: task_7,45246,15435,60681,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_09-24-55_#34-0: task_2,91241,14964,106205,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-15_09-24-55_#35-0: task_7,8917,19658,28575,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-15_09-24-55_#36-0: task_5,101897,25648,127545,7,0,False,0.5,0.071429,0.5,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
2025-12-15_09-24-55_#37-0: task_1,55609,11500,67109,1,0,False,0.0,0.0,0.0,[0.0]
2025-12-15_09-24-55_#38-0: task_5,26889,20040,46929,5,0,False,0.5,0.1,0.5,"[0.0, 0.0, 0.0, 0.5, 0.0]"
2025-12-15_09-24-55_#39-0: task_3,12221,20390,32611,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_09-24-55_#40-0: task_4,31358,18981,50339,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#41-0: task_1,45203,24122,69325,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#42-0: task_1,44572,17999,62571,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#43-0: task_7,35433,19075,54508,6,0,False,0.33,0.055,0.33,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#44-0: task_7,37413,31380,68793,8,0,False,0.67,0.08375,0.67,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.67]"
2025-12-15_13-59-38_#45-0: task_3,17828,13384,31212,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#46-0: task_2,59989,22727,82716,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#47-0: task_1,33352,8311,41663,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-15_13-59-38_#48-0: task_2,68014,24650,92664,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#49-0: task_5,27554,20385,47939,5,0,False,0.25,0.05,0.25,"[0.25, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#50-0: task_1,25624,9146,34770,1,0,False,0.5,0.5,0.5,[0.5]
2025-12-15_13-59-38_#51-0: task_1,6114,13107,19221,1,0,False,0.0,0.0,0.0,[0.0]
2025-12-15_13-59-38_#52-0: task_6,27239,19896,47135,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-15_13-59-38_#53-0: task_1,24253,13942,38195,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-15_13-59-38_#54-0: task_7,61937,16808,78745,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
