task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2025-12-13_11-19-30_#1-0: task_6,43607,675,44282,2,0,False,0.5,0.25,0.5,"[0.5, 0.0]"
2025-12-13_11-19-30_#2-0: task_6,33897,1099,34996,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-13_11-19-30_#3-0: task_1,23586,868,24454,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-13_11-19-30_#4-0: task_6,24126,597,24723,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-13_11-19-30_#5-0: task_5,69477,954,70431,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#6-0: task_7,58913,639,59552,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-13_14-22-08_#7-0: task_3,73713,772,74485,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#8-0: task_7,7270,582,7852,3,0,False,0.33,0.22,0.66,"[0.33, 0.0, 0.33]"
2025-12-13_14-22-08_#9-0: task_6,14095,884,14979,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#10-0: task_3,32859,1214,34073,8,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#11-0: task_1,25626,865,26491,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#12-0: task_3,25731,937,26668,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#13-0: task_4,27101,736,27837,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#14-0: task_2,35299,855,36154,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#15-0: task_4,35982,1199,37181,8,0,False,0.5,0.0625,0.5,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#16-0: task_1,18329,1344,19673,8,1,True,1.0,0.125,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2025-12-13_14-22-08_#17-0: task_6,81022,1026,82048,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#18-0: task_6,30224,881,31105,6,1,True,1.0,0.166667,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2025-12-13_14-22-08_#19-0: task_3,32564,989,33553,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-13_14-22-08_#20-0: task_5,27605,764,28369,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#21-0: task_5,33057,1051,34108,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#22-0: task_1,65871,923,66794,7,7,True,1.0,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2025-12-17_07-38-09_#23-0: task_7,28120,1171,29291,7,0,False,0.33,0.094286,0.66,"[0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.33]"
2025-12-17_07-38-09_#24-0: task_6,45690,1011,46701,6,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#25-0: task_3,11482,748,12230,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#26-0: task_7,90958,811,91769,3,0,False,0.33,0.11,0.33,"[0.0, 0.33, 0.0]"
2025-12-17_07-38-09_#27-0: task_6,25893,809,26702,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#28-0: task_5,25994,805,26799,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#29-0: task_5,105317,740,106057,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2025-12-17_07-38-09_#30-0: task_2,41947,1383,43330,9,1,True,1.0,0.111111,1.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#31-0: task_2,82102,746,82848,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#32-0: task_3,43067,1062,44129,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#33-0: task_7,43530,938,44468,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2025-12-17_07-38-09_#34-0: task_2,87409,641,88050,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
