task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-31_14-53-22_#0-0: task_3,19978,21963,41941,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#1-0: task_3,19995,11113,31108,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#2-0: task_2,15426,11643,27069,3,3,True,False,1.0,1.0,3.0,1.0,easy,"[1.0, 1.0, 1.0]"
2026-01-31_14-53-22_#3-0: task_6,11474,8707,20181,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#4-0: task_3,19910,13363,33273,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#5-0: task_6,19856,17612,37468,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#6-0: task_6,20220,15061,35281,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.0, 0.25, 0.0, 0.0]"
2026-01-31_14-53-22_#7-0: task_6,20063,10842,30905,4,0,False,True,0.25,0.0625,0.25,0.25,medium,"[0.25, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#8-0: task_1,15278,15663,30941,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#9-0: task_5,10836,5191,16027,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#10-0: task_6,20958,26231,47189,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#11-0: task_2,19783,21853,41636,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#12-0: task_5,5906,2637,8543,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#13-0: task_6,6304,4651,10955,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#14-0: task_2,6391,2699,9090,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-31_14-53-22_#15-0: task_2,5631,11469,17100,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-31_14-53-22_#16-0: task_4,5699,9096,14795,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#17-0: task_4,10499,5591,16090,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#18-0: task_3,10149,5265,15414,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-31_14-53-22_#19-0: task_6,5839,4065,9904,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#20-0: task_6,12754,4900,17654,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#21-0: task_5,24672,24232,48904,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#22-0: task_2,15525,9352,24877,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[0.0, 1.0, 0.0]"
2026-01-31_14-53-22_#23-0: task_6,21303,16498,37801,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#24-0: task_3,19849,13261,33110,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#25-0: task_7,6483,4096,10579,1,0,False,True,0.33,0.33,0.33,0.33,hard,[0.33]
2026-01-31_14-53-22_#26-0: task_1,15729,12198,27927,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#27-0: task_2,6514,3537,10051,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-31_14-53-22_#28-0: task_7,15789,13444,29233,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#29-0: task_1,15624,8972,24596,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#30-0: task_7,15293,19173,34466,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.33, 0.0]"
2026-01-31_14-53-22_#31-0: task_3,6275,8952,15227,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-31_14-53-22_#32-0: task_4,17234,11804,29038,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#33-0: task_3,15817,17456,33273,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#34-0: task_1,15095,16384,31479,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-31_14-53-22_#35-0: task_2,5635,7742,13377,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-31_14-53-22_#36-0: task_5,10774,5683,16457,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-31_14-53-22_#37-0: task_6,15998,11247,27245,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#38-0: task_3,15234,9486,24720,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#39-0: task_2,16361,13660,30021,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#40-0: task_6,20089,15169,35258,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#41-0: task_4,10834,10130,20964,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#42-0: task_4,16284,7580,23864,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#43-0: task_6,6659,8082,14741,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#44-0: task_4,29015,17058,46073,6,1,True,False,1.0,0.166667,1.0,1.0,medium,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#45-0: task_2,6519,7060,13579,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-31_14-53-22_#46-0: task_3,19779,20369,40148,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#47-0: task_2,15420,8671,24091,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 1.0, 0.0]"
2026-01-31_14-53-22_#48-0: task_2,10463,8017,18480,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-31_14-53-22_#49-0: task_6,10448,8270,18718,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#50-0: task_5,10673,14015,24688,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-01-31_14-53-22_#51-0: task_5,11054,6318,17372,2,0,False,True,0.25,0.125,0.25,0.25,medium,"[0.25, 0.0]"
2026-01-31_14-53-22_#52-0: task_3,10521,5613,16134,2,0,False,True,0.5,0.25,0.5,0.5,easy,"[0.5, 0.0]"
2026-01-31_14-53-22_#53-0: task_6,14997,12432,27429,3,1,True,False,1.0,0.333333,1.0,1.0,medium,"[1.0, 0.0, 0.0]"
2026-01-31_14-53-22_#54-0: task_5,12085,8473,20558,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#55-0: task_3,16663,10798,27461,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#56-0: task_2,15393,11210,26603,3,0,False,True,0.5,0.166667,0.5,0.5,easy,"[0.0, 0.0, 0.5]"
2026-01-31_14-53-22_#57-0: task_2,15438,20183,35621,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-31_14-53-22_#58-0: task_5,11265,13227,24492,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#59-0: task_4,10574,10938,21512,2,0,False,True,0.25,0.25,0.5,0.5,medium,"[0.25, 0.25]"
2026-01-31_14-53-22_#60-0: task_1,10501,8904,19405,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-31_14-53-22_#61-0: task_7,6606,3024,9630,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-31_14-53-22_#62-0: task_1,17208,11615,28823,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#63-0: task_2,15804,13665,29469,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#64-0: task_6,12304,6410,18714,2,0,False,True,0.5,0.25,0.5,0.5,medium,"[0.5, 0.0]"
2026-01-31_14-53-22_#65-0: task_2,16595,11539,28134,3,1,True,False,1.0,0.333333,1.0,1.0,easy,"[1.0, 0.0, 0.0]"
2026-01-31_14-53-22_#66-0: task_7,21298,22889,44187,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#67-0: task_6,15029,16548,31577,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-31_14-53-22_#68-0: task_4,7758,5146,12904,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#69-0: task_5,16236,12408,28644,3,0,False,True,0.5,0.333333,1.0,1.0,medium,"[0.5, 0.0, 0.5]"
2026-01-31_14-53-22_#70-0: task_1,24160,24943,49103,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#71-0: task_4,24287,22430,46717,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-31_14-53-22_#72-0: task_4,8278,5364,13642,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#73-0: task_5,4792,9507,14299,0,0,False,False,0.0,0.0,0,0,medium,[]
2026-01-31_14-53-22_#74-0: task_4,19620,14775,34395,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0]"
2026-01-31_14-53-22_#75-0: task_5,5678,7274,12952,1,0,False,False,0.0,0.0,0.0,0.0,medium,[0.0]
2026-01-31_14-53-22_#76-0: task_5,24149,28190,52339,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.0, 0.0, 0.5, 0.0]"
2026-01-31_14-53-22_#77-0: task_7,15081,9359,24440,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
