task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-29_18-49-01_#0-0: task_1,145193,7286,152479,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-29_18-53-58_#1-0: task_6,88531,8756,97287,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-29_18-53-58_#2-0: task_6,75984,17302,93286,4,0,False,True,0.5,0.125,0.5,0.5,medium,"[0.5, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#3-0: task_1,50059,9333,59392,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#4-0: task_6,53303,14979,68282,3,0,False,True,0.5,0.166667,0.5,0.5,medium,"[0.0, 0.0, 0.5]"
2026-01-29_18-53-58_#5-0: task_5,158813,20180,178993,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#6-0: task_7,120136,11898,132034,2,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0]"
2026-01-29_18-53-58_#7-0: task_3,160207,22509,182716,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#8-0: task_7,115519,7329,122848,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-29_18-53-58_#9-0: task_6,36419,16362,52781,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#10-0: task_3,87929,22539,110468,7,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#11-0: task_1,65474,32513,97987,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#12-0: task_3,44501,28016,72517,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#13-0: task_4,65583,26236,91819,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#14-0: task_2,79744,13630,93374,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#15-0: task_4,101438,31697,133135,8,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_18-53-58_#16-0: task_1,64535,32717,97252,8,1,True,False,1.0,0.125,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_21-48-20_#17-0: task_6,102931,17839,120770,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_21-48-20_#18-0: task_6,86998,30354,117352,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-29_21-48-20_#19-0: task_3,72832,15548,88380,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-29_21-48-20_#20-0: task_5,60215,9421,69636,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-29_21-48-20_#21-0: task_5,93480,38771,132251,7,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
