task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-22_09-07-41_#0-0: task_6,27604,603,28207,4,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#1-0: task_1,14940,410,15350,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-22_09-07-41_#2-0: task_1,33214,744,33958,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#3-0: task_6,40382,1192,41574,6,1,True,False,1.0,0.25,1.5,1.0,medium,"[0.5, 0.0, 0.0, 0.0, 1.0, 0.0]"
2026-01-22_09-07-41_#4-0: task_3,34156,667,34823,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#5-0: task_2,39930,811,40741,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#6-0: task_6,38646,683,39329,6,0,False,True,0.25,0.041667,0.25,0.25,medium,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#7-0: task_6,38804,676,39480,5,0,False,True,0.25,0.1,0.5,0.5,medium,"[0.0, 0.25, 0.25, 0.0, 0.0]"
2026-01-22_09-07-41_#8-0: task_5,19705,482,20187,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#9-0: task_4,20705,532,21237,3,0,False,True,0.25,0.083333,0.25,0.25,medium,"[0.0, 0.25, 0.0]"
2026-01-22_09-07-41_#10-0: task_1,20718,464,21182,3,0,False,True,0.5,0.166667,0.5,0.5,easy,"[0.5, 0.0, 0.0]"
2026-01-22_09-07-41_#11-0: task_1,21104,466,21570,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#12-0: task_2,19439,534,19973,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-22_09-07-41_#13-0: task_5,39783,714,40497,5,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0, 0.0, 0.0]"
