task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,task_difficulty,all_scores
2026-01-17_13-39-39_#0-0: task_2,21887,17994,39881,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#1-0: task_4,37003,33779,70782,5,0,False,True,0.5,0.2,1.0,1.0,medium,"[0.5, 0.0, 0.5, 0.0, 0.0]"
2026-01-17_13-39-39_#2-0: task_2,30570,33722,64292,5,2,True,False,1.0,0.4,2.0,1.0,easy,"[0.0, 1.0, 0.0, 0.0, 1.0]"
2026-01-17_13-39-39_#3-0: task_2,24985,34210,59195,3,2,True,False,1.0,0.666667,2.0,1.0,easy,"[1.0, 0.0, 1.0]"
2026-01-17_13-39-39_#4-0: task_7,54027,50385,104412,8,0,False,True,0.33,0.165,1.32,1.0,hard,"[0.0, 0.0, 0.33, 0.33, 0.0, 0.0, 0.33, 0.33]"
2026-01-17_13-39-39_#5-0: task_1,20534,5368,25902,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-17_13-39-39_#6-0: task_4,14852,17255,32107,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#7-0: task_7,27120,27652,54772,5,0,False,True,0.33,0.066,0.33,0.33,hard,"[0.33, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#8-0: task_5,24729,13377,38106,2,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0]"
2026-01-17_13-39-39_#9-0: task_1,27364,19485,46849,4,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#10-0: task_1,25017,13631,38648,2,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0]"
2026-01-17_13-39-39_#11-0: task_6,30116,15093,45209,4,1,True,False,1.0,0.375,1.5,1.0,medium,"[0.0, 1.0, 0.5, 0.0]"
2026-01-17_13-39-39_#12-0: task_7,30500,7532,38032,1,0,False,False,0.0,0.0,0.0,0.0,hard,[0.0]
2026-01-17_13-39-39_#13-0: task_1,41433,42707,84140,8,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#14-0: task_1,10306,7958,18264,2,1,True,False,1.0,0.5,1.0,1.0,easy,"[0.0, 1.0]"
2026-01-17_13-39-39_#15-0: task_7,36159,40331,76490,6,0,False,True,0.33,0.165,0.99,0.99,hard,"[0.0, 0.0, 0.33, 0.33, 0.33, 0.0]"
2026-01-17_13-39-39_#16-0: task_7,33550,35454,69004,6,0,False,True,0.33,0.11,0.66,0.66,hard,"[0.33, 0.0, 0.0, 0.0, 0.0, 0.33]"
2026-01-17_13-39-39_#17-0: task_2,11382,16235,27617,1,0,False,False,0.0,0.0,0.0,0.0,easy,[0.0]
2026-01-17_13-39-39_#18-0: task_2,20861,26161,47022,3,3,True,False,1.0,1.0,3.0,1.0,easy,"[1.0, 1.0, 1.0]"
2026-01-17_13-39-39_#19-0: task_4,30644,15977,46621,3,0,False,False,0.0,0.0,0.0,0.0,medium,"[0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#20-0: task_2,19481,21505,40986,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#21-0: task_7,21151,8475,29626,2,0,False,True,0.33,0.165,0.33,0.33,hard,"[0.0, 0.33]"
2026-01-17_13-39-39_#22-0: task_4,28554,32033,60587,6,0,False,True,0.5,0.083333,0.5,0.5,medium,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0]"
2026-01-17_13-39-39_#23-0: task_1,39908,38935,78843,5,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#24-0: task_2,24961,27440,52401,3,0,False,False,0.0,0.0,0.0,0.0,easy,"[0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#25-0: task_4,12738,15881,28619,1,0,False,True,0.5,0.5,0.5,0.5,medium,[0.5]
2026-01-17_13-39-39_#26-0: task_3,25505,23455,48960,5,1,True,False,1.0,0.2,1.0,1.0,easy,"[0.0, 0.0, 1.0, 0.0, 0.0]"
2026-01-17_13-39-39_#27-0: task_7,24488,18298,42786,3,0,False,False,0.0,0.0,0.0,0.0,hard,"[0.0, 0.0, 0.0]"
2026-01-17_13-39-39_#28-0: task_7,31666,21429,53095,5,0,False,True,0.33,0.33,1.65,1.0,hard,"[0.33, 0.33, 0.33, 0.33, 0.33]"
